"Pays_Code";"Pays";"Mesure";"Unité";"Multiplicateur";"Base";"Date";"Valeur";"Statut"
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1983;56714,83954;"Valeur estimée  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1984;58782,6165;"Valeur estimée  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1985;64035,65383;"Valeur estimée  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1986;66647,38891;"Valeur estimée  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1987;70077,14883;"Valeur estimée  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1988;72721,47667;"Valeur estimée  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1989;75049,38694;"Valeur estimée  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1990;75925,22021;"Valeur estimée  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1992;79464,84887;"Valeur estimée  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1996;78189,6658;"Valeur estimée  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1998;84004,88752;"Valeur estimée  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1981;32964,34246;"Valeur estimée  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1983;32131,96586;"Valeur estimée  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1986;36222,44333;"Valeur estimée  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1987;36446,28339;"Valeur estimée  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1988;37124,0512;"Valeur estimée  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1989;37829,00561;"Valeur estimée  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1990;38001,62236;"Valeur estimée  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1991;36060,14295;"Valeur estimée  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1993;37625,55651;"Valeur estimée  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1994;38911,68103;"Valeur estimée  "
